Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Irrelevant;TOP;SK;VIT;Photon;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Blue;00:29:15;Orianna;Rell;Maokai;Sejuani;RekSai;Twisted_Fate;Loss;13;4;0;0;15;1;3;4;1.7;177;0;0;6.1;10075;344;18.8;20;8;3;5;4;0.68;0.27;0.17;0.1;8.2;4431;1869;2374;188;151;8.7;0.17;38.5;0;0;0;0;0;-1598;-34;-684;-1;0;2522;2522;14325;0;33105;0;10;111;31605;121;7;18;700;0
Isma;JUNGLE;SK;VIT;Daglas;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Blue;00:29:15;Rumble;Renata_Glasc;Zeri;Jayce;Maokai;Sejuani;Loss;13;4;0;0;14;2;2;7;4.5;150;132;0;5.1;9250;316;17.3;33;6;6;6;4;1.13;0.21;0.21;0.21;13.5;6211;611;4514;1086;212;12.2;0.31;69.2;0;0;0;0;0;-909;-16;-299;0;0;43;43;16039;0;23927;0;38;583;28216;55;7;25;0;0
Nisqy;MID;SK;VIT;Vetheo;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Blue;00:29:15;Varus;Kalista;Azir;Rakan;Azir;Jayce;Loss;13;4;0;0;15;0;4;5;1.3;245;8;0;8.4;11431;391;21.4;24;9;7;3;2;0.82;0.31;0.1;0.24;9.8;14592;274;13966;352;499;28.8;0.17;38.5;0;0;0;0;0;-2402;-30;-1497;-2;0;11724;11724;3977;0;12782;0;15;171;20374;116;7;27;0;0
Exakick;ADCARRY;SK;VIT;Carzzy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Blue;00:29:15;Xayah;Nautilus;Camille;Kaisa;Zeri;Kaisa;Loss;13;4;0;0;16;7;2;3;5;312;18;0;10.7;14689;502;27.4;50;17;17;7;7;1.71;0.58;0.24;0.58;20.5;19790;13877;4658;1255;677;39;0.34;76.9;1;1;1;0;0;-105;8;267;0;0;3492;3492;2807;0;6709;0;10;199;15825;50;10;27;450;50
Doss;SUPPORT;SK;VIT;Hylissang;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Blue;00:29:15;Jinx;Lulu;RekSai;Twisted_Fate;Camille;Rakan;Loss;13;4;0;0;12;3;8;3;0.8;26;4;0;0.9;8074;276;15.1;117;81;14;14;13;4;2.77;0.48;0.48;48;5684;4692;225;767;194;11.2;0.21;46.2;0;0;0;0;0;-37;1;-386;0;0;50;50;897;0;9043;0;12;59;17027;79;17;32;350;0
Photon;TOP;VIT;SK;Irrelevant;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Red;00:29:15;Rell;Orianna;Sejuani;Maokai;Twisted_Fate;RekSai;Win;19;10;4;2;17;1;2;9;5;254;19;0;8.7;14325;490;22.8;58;15;15;6;5;1.98;0.51;0.21;0.51;18.5;21030;8435;11978;617;719;23.9;0.34;52.6;0;0;0;0;0;1598;34;684;1;0;10250;10250;3837;0;11956;0;41;153;12454;100;7;25;0;200
Daglas;JUNGLE;VIT;SK;Isma;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Red;00:29:15;Renata_Glasc;Rumble;Jayce;Zeri;Sejuani;Maokai;Win;19;10;4;2;14;3;3;12;5;168;144;0;5.7;10900;373;17.4;51;11;14;9;9;1.74;0.38;0.31;0.48;16.2;8577;4346;3718;513;293;9.8;0.51;78.9;0;0;0;0;0;909;16;299;0;0;519;519;14716;511;38778;579;25;325;28226;64;11;26;0;150
Vetheo;MID;VIT;SK;Nisqy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Red;00:29:15;Kalista;Varus;Rakan;Azir;Jayce;Azir;Win;19;10;4;2;17;10;1;3;13;284;18;0;9.7;15464;529;24.6;52;11;11;8;5;1.78;0.38;0.27;0.38;16.6;27310;23834;2460;1016;934;31.1;0.44;68.4;0;0;2;0;0;2402;30;1497;2;0;8432;8432;2659;0;11800;0;8;162;15349;48;9;31;0;700
Carzzy;ADCARRY;VIT;SK;Exakick;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Red;00:29:15;Nautilus;Xayah;Kaisa;Camille;Kaisa;Zeri;Win;19;10;4;2;15;4;2;4;4;244;1;0;8.3;13866;474;22.1;49;22;7;4;4;1.68;0.75;0.14;0.24;15.6;25083;9311;15121;651;858;28.5;0.27;42.1;0;0;0;0;0;105;-8;-267;0;0;7422;7422;2357;113;8011;0;0;24;11149;35;6;26;0;450
Hylissang;SUPPORT;VIT;SK;Doss;30.03.2024;1;1;v14.6;Spring_Playoffs_24;3;3;3;3;Red;00:29:15;Lulu;Jinx;Twisted_Fate;RekSai;Rakan;Camille;Win;19;10;4;2;12;1;5;10;2.2;25;0;0;0.9;8228;281;13.1;104;55;18;14;14;3.56;1.88;0.48;0.62;33.1;5948;1181;4176;591;203;6.8;0.38;57.9;0;0;0;0;0;37;-1;386;0;0;231;231;4200;1102;22288;3237;23;83;16533;91;16;31;50;0
